"Id,Project,Reporter,Assigned To,Priority,Severity,Reproducibility,Product Version,Category,Date Submitted,OS,OS Version,Platform,View Status,Updated,Summary,Status,Resolution,Fixed in Version"
"0003748,QA52,veilchen,ai_ivanov,normal,minor,random,,General,2025-09-11,Google Chrome,140.0.7339.80,,public,2025-09-11,""[L10N]  [random] Перенаправление на английскую версию при нажатии на гиперссылку в разделе """"Угода користувача"""""",assigned,open,"
"0003747,QA52,veilchen,ai_ivanov,normal,minor,always,,General,2025-09-11,Google Chrome,140.0.7339.80,,public,2025-09-11,[L10N]  Отсутствие английской версии у видео в английской локализации в body на главной странице сайта,assigned,open,"
"0003746,QA52,veilchen,ai_ivanov,low,text,always,,General,2025-09-11,Google Chrome,140.0.7339.80,,public,2025-09-11,""[L10N] Отсутствие локализации метрической системы в  разделе """"About company"""" в английской локализации на главной странице"",assigned,open,"
"0003745,QA52,veilchen,ai_ivanov,normal,minor,always,,General,2025-09-11,Google Chrome,140.0.7339.80,,public,2025-09-11,""[L10N] Перенаправление на украинскую версию при нажатии на """"User agreement"""" в футере сайта в английской локализации сайта."",assigned,open,"
"0003744,QA52,veilchen,ai_ivanov,normal,minor,always,,General,2025-09-11,Google Chrome,140.0.7339.80,,public,2025-09-11,""[L10N] Перенаправление на украинскую версию раздела при нажатии на """"Карта сайта"""" в футере сайта в русской локализации сайта."",assigned,open,"
"0003743,QA52,veilchen,ai_ivanov,high,minor,always,,General,2025-09-11,Google Chrome,140.0.7339.80,,public,2025-09-11,Достаточно низкий показатель Performance при проверке через Lighting в ChromeDevTool на главной странице сайта,assigned,open,"
"0003742,QA52,veilchen,ai_ivanov,normal,minor,always,,General,2025-09-11,Google Chrome,140.0.7339.80,,public,2025-09-11,Ошибка 404 в Console в ChromeDevTool на главной странице сайта,assigned,open,"
"0003741,QA52,veilchen,ai_ivanov,high,minor,always,,General,2025-09-11,Google Chrome,140.0.7339.80,,public,2025-09-11,""Отображается ошибка 404  при нажатии на логотип """"С++"""" в  разделе """"Технології які ми використовуємо"""" в body на главной странице"",assigned,open,"
"0003740,QA52,veilchen,ai_ivanov,normal,minor,always,,General,2025-09-11,Google Chrome,140.0.7339.80,,public,2025-09-11,""Отсутствие изображений у двух логотипов в разделе """"Технології які ми використовуємо"""" в body на главной странице"",assigned,open,"
"0003739,QA52,veilchen,ai_ivanov,high,major,always,,General,2025-09-11,Google Chrome, 140.0.7339.80,,public,2025-09-11,Отсутствие срабатывания валидатора при отправке рандомных значений в форме для отправки обратной связи в футере сайта,assigned,open,"
